"Timestamp","Select the theme you are contributing to","Choose a pseudonym for your dirty page","Your script in any language","Your script in english","Any suggestions?"
"2025-04-29T17:48:31.008Z","Sorrido al Fotografo || I smile at the Photographer ( Mar25 )"," ","Dans notre monde où idées, personnes et arbres se muent l'un en l'autre, poussent et se volatilisent au gré du vent, seul un phénomène rompt l'ordre des choses. Il commence par des milliers de cris, une panique collective où chacun court pour son existence. Tous traqueurs, tous traqués, il est trop tard quand nous comprenons que la fuite est impossible, que personne ne poursuit personne. L’espace et le temps se referment sur nous. En un flash les cris hystériques, comme nous tous, ne deviennent qu’un. Un “Cheeeese” qui me surprend moi-même. Je souris à qui m’a capturé, lui tire mon chapeau bas: “Je ne m’étais jamais vu sous cette angle là”","In our world, where ideas, people, and trees blur into one another, grow and vanish with the wind, only one phenomenon breaks the order of things.
It begins with thousands of screams—a collective panic where everyone runs for their existence.
All hunters, all hunted, it's too late when we realize that escape is impossible, that no one is chasing anyone.
Space and time close in on us.
In a flash, the hysterical screams—like all of us—collapse into one.
A “Cheeeese” that even surprises even me.
I smile at the one who captured me, tip my hat:
""I’d never seen myself from that angle before.""",""
"2025-04-24T15:16:50.092Z","Sorrido al Fotografo ( Mar25 )","Una mucca con il corpo di Saturno e i piedi da umano","Un ulteriore esempio di sciatto lavoro di critica si puo trovare nelle pubblicazione
di Caca Peerley. Come spesso accade nelle biografie di critici scadenti, Peerley
inizio la sua carriera letteraria cercando di pubblicare i propri racconti ma senza
mai riuscire ad trovare un proprio pubblico o, per quel che conta, un proprio
stile. Entrato in accademia e quindi in ambienti di critica da salotto riuscı a
trovare la propria vocazione: pubblicare editoriali di critica letteraria con
l’apparente ambizione di riuscire a criticare sempre nel modo piu insignificante ed
invidioso. Di seguito e riportato un estratto esemplare da ”Poetica dell’inetto”
(Mortemi Editore, Roma, 1998): 

—-Le pochissime opere di Pirka Kalei hanno raggiunto una notorieta dal
sottoscritto incomprensibile data la loro mancanza di ogni tipo di significato e
la sua ultima impresa pubblicata postuma ed incompiuta non sembra da meno.
Questo scritto mai dichiarato pronto alla pubblicazione rappresenta perfetta-
mente la pusillaminita dell’autore. ”” 
[Folla:] Ciao, ci piace camminare per i
corridoi e sorridere.
[Cane:] A me piace fare le cose a caso. Forse perche sono un cane. Forse
perche non sono un cane.
[Folla:] Ma che bel libro di inglese! Ahah
[Cane:] Sia io che voi sappiamo che questo non centrava nulla.
[Folla:] Gli ultimi corti di Wes Anderson sono un vero capolavoro. Riescono
ad essere piu Wes Anderson di Wes Anderson. Ve li consiglio.
[Cane:] Si li ho visti ma non me li ricordo molto. Pero sı hai ragione sono
molto belli.
[Folla:] Avete visto cosa ha pubblicato Trump? Non so come fanno gli amer-
icani ad essere cosı stupidi. No ma e l’Europa che dovrebbe riarmarsi.
[Cane:] Ma mi lasciate stare per favore? Stavo cercando di scrivere sta roba
e gia faccio fatica e tutte ste voci mi incasinano la testa.
[Folla:] Vuoi venire al mare domani? Ci dovrebbe essere il sole.
[Cane:] Eh si avrei da fare e da finire questa cosa. Non so se riesco a finire
oggi. Ma si. Massı che ci vengo dai. Certo che ci voglio venire. Non e un
problema. Ci vediamo lı eh.
[Folla:] Guarda un flash!
[Cane:] Occristo
[Cani:] In questa spiaggia non ci sono bidoni. Ma guarda che la raccolta
differenziata e una truffa. Viene riciclato solo il 5percento della plastica ed il
resto finisce nelle discariche in Asia o direttamente nel mare. Lo sapevate che
Elly’s chiude? Il bar con con i tavoli fatti di yoghurt? Ci ero andato solo per
un date con una tipa. Peccato sembrava bello. Riciclare non e la soluzione alla
sovrapproduzione di plastica.
[Cane:] Comunque sono proprio belli i film di Wes Anderson eh. Tutte
quelle cose alla Wes Anderson e poi gli ultimi corti eh che roba.
[Cani:] Guarda un flash!
[Cane:] Occazzo
[Cane:] Ma la volete smettere di fare tutto sto casino? Sto cercando di fare
qualcosa di utile qui! Che una pagina e gia troppo poco!
[Cane:] Ma con chi parli?
[Cane:] Con loro! E con te! Come fate a scodinzolare tra tutti questi flash?
Tra tutte queste opinioni? Ridere leggere o parlare senza mai un dubbio? Me
ne vado.
[Cane:] Cane no dai, tranquillo, sorridi. ””
Leggendo e evidente la motivazione per cui Kalei non si decise mai a pubbli-
care questo racconto il cui cui titolo sarebbe dovuto essere ’Sorrido al fotografo’.
Dal testo stesso traspare la meschinita che pervade l’interezza della sua opera.
—--

Un’ analisi cosı miope e malposta puo venire solo da un’ anima amara come
quella di Peerley e mi auguro che i futuri critici che stanno leggendo questa
antologia riescano a mantenere intatta la propria relazione con la realta meglio
di quanto non ci si riuscito questo rinomato commentatore.
[Folla:] Ma che problemi aveva quel cane?
[Io:] Non so ma quello che ho scritto mi fa cagare.","Another example of sloppy critical work can be found in the publications of Caca Peerley. As often happens in the biographies of mediocre critics, Peerley began his literary career trying to publish his own short stories, but never managed to find an audience—or, for that matter, a style. After entering academia and the world of drawing-room criticism, he discovered his true calling: publishing literary editorials with the apparent ambition of criticizing in the most petty and envious way possible. Below is a representative excerpt from Poetics of the Inept (Mortemi Publishing, Rome, 1998):

“The very few works of Pirka Kalei have reached a level of notoriety that I personally find incomprehensible, given their utter lack of meaning in any form. His last project, published posthumously and unfinished, is no different. This piece—never declared ready for publication—perfectly embodies the author’s cowardice.

[Crowd:] Hi, we like walking through the halls and smiling.
[Dog:] I like doing random things. Maybe because I’m a dog. Maybe because I’m not a dog.
[Crowd:] What a lovely English textbook! Haha
[Dog:] You and I both know this has nothing to do with anything.
[Crowd:] Wes Anderson’s latest shorts are masterpieces. They manage to be more Wes Anderson than Wes Anderson himself. Highly recommend.
[Dog:] Yeah, I saw them but don’t remember much. Still, you’re right—they’re really good.
[Crowd:] Have you seen what Trump posted? I don’t get how Americans can be so stupid. But no, it’s Europe that needs to rearm.
[Dog:] Can you all please leave me alone? I’m trying to write this thing, and I’m already struggling—these voices are messing with my head.
[Crowd:] Wanna go to the beach tomorrow? Should be sunny.
[Dog:] Ugh, I’ve got stuff to do… need to finish this… Don’t know if I’ll manage today. But yeah. What the hell, I’ll come. Of course I want to come. No problem. See you there.
[Crowd:] Look, a flash!
[Dog:] Oh Christ.
[Dogs:] There are no bins on this beach. But you know recycling is a scam, right? Only 5% of plastic gets recycled, the rest ends up in landfills in Asia or straight into the ocean. Did you hear Elly’s is closing? The bar with yogurt tables? I only went there once on a date. Shame, seemed nice. Recycling won’t fix plastic overproduction.
[Dog:] Anyway, Wes Anderson’s movies are really beautiful, huh. All that Wes Anderson stuff, and those latest shorts—what a trip.
[Dogs:] Look, a flash!
[Dog:] Oh shit!
[Dog:] Can you all stop making such a racket? I’m trying to do something useful here! A single page is already too little!
[Dog:] Who are you talking to?
[Dog:] To them! And to you! How can you wag your tails through all these flashes? Through all these opinions? Laughing, reading, talking—never a single doubt? I’m out.
[Dog:] Don’t go, Dog. Chill out. Smile.”

Reading it, the reason why Kalei never chose to publish this story—titled Smiling at the Photographer—becomes painfully clear. The text reeks of the same pettiness that pervades his entire body of work.

Such a short-sighted and misplaced analysis could only come from a bitter soul like Peerley’s, and I sincerely hope that the future critics reading this anthology manage to preserve their relationship with reality better than this celebrated commentator ever could.

[Crowd:] What was wrong with that dog?
[Me:] I don’t know, but what I wrote sucks.",""
"2025-05-30T15:00:54.474Z","Previsto il prevedibile || Foreseen the Foreseeable (May 25)","Il Barone Tartaglia","Il culo mi si sta schiacciandt, appiccicanto contro la sedia. La imbottitura vecchia con gli anni ha mantenuto la ruvidezza ma ha perso la morbidezza, o forse meglio dire il gonfiore, e il mio culo poggia direttamente sulla plastica della sedia che, dura come  l'osso zigmatico sotto l'ecchimosi cutanea, indolenzisce le natiche. La parte inferiore del corpo sta nelle profondita del sotto scrivania, mentre la parte superiore del corpo emerge abbastanza da permettermi di utilizzare il PC per fittare i dati che rappresentano la traiettoria (devo usare una funzione ellittica?) del pianeta verde.  Scientificamente definito gastro - distante abbastanza, ma non troppo, per dello spontaneo e sincero interesse scientifico- gastro piroetta nello spazio come ogni molecola immersa in un bagno termico. Di termico nello spazio ci sta ben poco come sapete, ma quello che fa piroettare Gastro come ogni pensiero difficile e' un bagno gravitazionale dovuto a sette pianeti massivi e di differenti colori (1,8987 · 10^27 kg giallo, 8,6849 · 10^25 kg rosso, 1,0244 · 10^26 kg rosa, 5,6851 · 10^26 kg azzurro, 3,33 · 10^23  kg nero, 4,8690 · 10^24 kg borgogna, 6,4191 · 10^23 kg grigio fumo) e ad una fornace di energia raffinata. Qui al miglior polo di ricerca della regione Lazio, il Centro Studi Rettilinei di illogica Applicata, siamo rimasti in pochi e i miei fit sono fra i pochi risultati che hanno ancora pubblicazione. Gastro infatti e' uno dei pochi progetti di ricerca ancora finanziati dal governo che vede in questo pianeta una possibile fonte di profitto per l'industria dello spettacolo. La scienza interessa solo a me, la vera ragione e' che le sue orbite sono diventate virali su TikTok. Il primo video caricato, sempre da me, mostrava un timelaps, ottenuto tramite le immagini del satellite Landsat 8, dove Gastro descriveva una perfetta curva, chiamata Folium di Cartesio, nell'immensita spaziale. Il video ricevette poco riscontro, e cosi fu anche per il secondo e terzo (rispettivamente Curva di Peano e Cissoide di Diocle). Tutto cambio con il quarto tiktok dove Gastro intrepido dimostrava in maniera evidente che a partire dal giorno 30 Maggio del 2067 in soli 47 giorni 12 ore e 12 minuti (errore di piu o meno 2 ore) la sua orbita diveniva niente meno che una Lemniscata di Bernoulli. Il video naturalmente divenne virale e il progetto ottenne i finanziamenti che resero celebro il mio centro di ricerca. Tutto questo avviene parallelamente ai miei fit. Pochi su TikTok sono veramente in grado di comprendere l'unicita' scientifica rappresentata da Gastro (e stiamo parlando di milioni di persone!) ma io ne sto provando ad abbracciare il mistero. Nella sua ultima danza Gastro ha fatto una semplice ma per niente banale Cardioide che ha mandato in delirio TikTok ed e' stata condivisa da milioni di utenti con intenti di eroticita' virtuale ma emotiva. Non sono ancora in grado di prevedere la prossima forma geometrica che Gastro realizzera' ma i fit mi stanno avvicinando alla legge che ne governa il movimento. Ma come faro' quando TikTok imprevedibilmente si stanchera' di lui?","My ass is being flattened, sticking to the chair.
The old padding, over the years, has kept its roughness but lost its softness—or maybe I should say its plumpness—and now my ass rests directly on the plastic seat, which is as hard as a zygomatic bone under a skin bruise, numbing my buttocks.

The lower half of my body is sunk in the depths beneath the desk, while the upper half emerges just enough to let me use the PC to fit the data that represent the trajectory (should I be using an elliptical function?) of the green planet.

Scientifically known as Gastro—distant enough, but not too much, to spark genuine scientific interest—Gastro pirouettes through space like every molecule immersed in a thermal bath. Of course, there’s very little that’s thermal in space, as you all know, but what makes Gastro spin, like every difficult thought, is a gravitational bath caused by seven massive, differently-colored planets (1.8987 · 10^27 kg yellow, 8.6849 · 10^25 kg red, 1.0244 · 10^26 kg pink, 5.6851 · 10^26 kg light blue, 3.33 · 10^23 kg black, 4.8690 · 10^24 kg burgundy, 6.4191 · 10^23 kg smoke gray) and a furnace of refined energy.

Here at the finest research hub in the Lazio region, the Center for Rettilinear Studies of Applied Illogics, there are only a few of us left, and my fits are among the few results still being published. Gastro, in fact, is one of the last government-funded research projects, since they see in this planet a potential source of profit for the entertainment industry.

Science only interests me—
The real reason is that its orbits have gone viral on TikTok.

The first video I uploaded, using images from the Landsat 8 satellite, was a timelapse where Gastro traced a perfect Folium of Descartes in the vastness of space. It got little attention—same with the second and third videos (Peano Curve and Cissoid of Diocles, respectively).

Everything changed with the fourth TikTok, where Gastro boldly demonstrated—clearly and undeniably—that starting from May 30th, 2067, in just 47 days, 12 hours, and 12 minutes (margin of error: ±2 hours), its orbit became none other than a Lemniscate of Bernoulli.

Naturally, the video went viral, and the project received funding that made my research center famous. All of this is happening in parallel with my fits.

Few people on TikTok are truly able to grasp the scientific uniqueness represented by Gastro (and we’re talking millions of people!), but I’m trying to embrace its mystery.

In its most recent dance, Gastro performed a simple yet far-from-trivial Cardioid, which sent TikTok into a frenzy and was shared by millions of users with emotionally erotic—yet still virtual—intentions.

I still can’t predict the next geometric shape Gastro will perform, but the fits are getting me closer to the law governing its movement.

But what will I do when TikTok, unpredictably, gets tired of it?",""
"2025-03-20T10:29:28.888Z","Sorrido al Fotografo ( Mar25 )","Sensei","ある学生が禅師に自己紹介した。
「写真家はどうやって自分の写真を撮るのですか？

学生は笑った。
先生は棒で生徒を叩いた。
生徒は呻いた。
先生は棒で生徒を殴った。
生徒は泣いた。
先生が棒で生徒を殴った。

生徒の目が輝いた
彼は餓死するまで動かずに立っていた","A student introduced himself to the Zen Master.
“How does a photographer take a picture of himself?” the teacher asked.

The student laughed.
The teacher hit the student with a stick.
The student grunted.
The teacher hit the student with a stick.
The student cried.
The teacher hit the student with a stick.

The student's eyes light up.
He stood motionless until he starved to death",""
"2025-05-06T17:53:28.897Z","Previsto il prevedibile || Foreseen the Foreseeable (May 25)","Jimbo","Realizzò in quel momento che ""Prevedere il prevedibile"" non era che l'alfa di tutto lo scibile, non era che la faccia visibile della Luna. L'Opera Omnia non era che a metà, ma la gioia dell'illuminazione annientò lo sconforto del lavoro. Tutto sudato si alzò, corse alla sua scrivania e accantonò tutte le vecchie scartoffie. La cosa più stupefacente per un uomo del suo intelletto è che la risposta s'era sempre celata sotto il suo naso, ma talvolta è tanto arduo vedere ciò che è in bella vista, come tanto è arduo comprendere il significato sotto le parole. Tutto ormai era chiaro: chiunque è in grado di vedere vedere con la luce tanto quanto chiunque è in grado di non vedere con il buio. Era giunto ora il momento di dedicarsi all'omega, alla metà oscura di quell'Opera Omnia che aveva cominciato vent'anni or sono: ""Imprevedere l'imprevedibile"".","He realized in that moment that ""Foreseeing the foreseeable"" was merely the alpha of all the knowledge, merely the visible face of the Moon. The Opera Omnia was only halfway complete, but the joy of enlightenment obliterated the discouragement of the work. All sweaty, he got up, ran to his desk, and set aside all the old paperwork.

The most astonishing thing for such a clever man was that the answer had always been hidden right under his nose, but sometimes it’s just as hard to see what is in plain sight as it is to grasp the meaning beneath the words.

Everything was now clear: anyone is able to see with the light just as anyone is able not to see in the dark. The time had come to devote himself to the omega, to the dark half of that Opera Omnia he had begun twenty years earlier: ""Unforeseeing the Unforeseeable"".",""
"2025-04-13T13:30:06.835Z","Sorrido al Fotografo ( Mar25 )","Pirlandello","Cosa vuole da me questa figura?
Mi guarda negli occhi, non si muove.
Avrà trovato un altro pensiero da leggere in silenzio.
Nel mio sguardo.
Ennesimo soffice abbraccio del nulla.

Cosa vuole da me questa figura?
Mi guarda negli occhi, devo fare lo stesso.
Come sono caduto in questo tacito gioco di sguardi?
Forse avevo altre cose da fare.
Forse no.

Cosa vuole da me questa figura?
E se non esistesse? Provo a toccarla.
Come io mi muovo, lei già si era mossa.
Congiunte le punte dei nostri duplici indici. Nulla accade.
Avevo sicuramente altre cose da fare.

Cosa vuole da me questa figura?
Se lei è, io sono. Lei è, se io sono.
Io sono un pugno.
E lei mille pugni, sporchi del mio sangue, sporchi del suo sangue.
Un sangue vitreo che riflette mille copie della stessa identica faccia.

Cosa vuole da me questa figura?
Una folla di occhi impressi nel suo disgregarsi.
Un unicità che si spegne in una molteplicità di sguardi.
Serve troppo sangue per frammentarne i frammenti.
Mi resta il sangue ed uno specchio rotto.

Una goccia di sangue cade sul foglio.
La pace parcheggia in divieto di sosta. 
Tra me e i frammenti di lei.
I suoi mille sguardi diventan sorrisi.
Ed io sorrido.","What does this figure want from me?
It stares into my eyes, unmoving.
Has it found another thought to read in silence?
In my gaze.
Yet another hollow embrace of nothing.

What does this figure want from me?
It stares into my eyes, I must stare back.
How did I fall into this silent game of glances?
Perhaps I had other things to do.
Perhaps not.

What does this figure want from me?
What if it isn’t real? I reach to touch it.
As I move, it had already moved.
Our twin index fingers meet. Nothing happens.
I definitely had other things to do.

What does this figure want from me?
If it is, then I am. It is, if I am.
I am a fist.
And it, a thousand fists, smeared with my blood, smeared with its blood.
A glassy blood that reflects a thousand copies of the same face.

What does this figure want from me?
A crowd of eyes etched into its dissolution.
A singularity drowned in a swarm of stares.
Too much blood is needed to shatter the shards.
All I’m left with is blood and a broken mirror.

A drop of blood falls onto the page.
Peace parks in a no-standing zone.
Between me and the fragments of it.
Its thousand stares twist into smiles.
And I smile back.",""
"2025-11-07T14:25:55.365Z","Il Giorno dei Pareri || Opinion's Day (Oct 25)","P.","il giorno di P. la sveglia non suono’ o perlomeno non venne sentita. forse spenta nel sonno. 

il giorno di P. la mamma chiamo’ per essere rassicurata che non ci fossero stati intoppi fino a P. 

il giorno di P. la gente scese in strada a protestare contro l’assedio di P. 

il giorno di P. l’aereo perse quota ma non slancio, e qualcuno grido’ allo scandalo.

Il giorno di P. stettero tutti in silenzio ad aspettare P.

il giorno prima di P. c’erano tensione fremito - e poco P.

il giorno dopo di P. le bici avevano le banane alle ruote e versarono P.

il giorno di P. c’e’ Nanni Moretti in prima fila che discute con P. 

dal giorno di P. abbiamo avuto solo giorni pieni di P.

Nessun giovane vuole P. e nessun vecchio vuole non-P. 

I bambini giocano con P.","The dawn of P came without anybody noticing it.

Soon after dawn it started raining P on the roofs and canals of the urban conglomerate. 

More and more P poured and soon enough the streets were flooded with P. 

P was flowing into the basements and leaking through the roofs. 

Concrete cubic containers with effortless modern interiors were now taken over by P. 

P did not like the effortlessly-modern interiors. P preferred a rustic and traditional design.

P expanded to fill the interior and, as it retracted, the head of a stag over a Victorian fireplace appeared.    

The original dwellers thought it best not to resist any choice made by P.

P seemed all-knowledgeable and benevolent; the dwellers started to worship P.

The same events unfolded in all other concrete cubic containers. 

With time P had become indiscernible from its surroundings. It was the sunset of P. 

It will soon be the dawn of a new P.","shove a suggestion up your armpit and carry it around like a baguette. then you'll know how an Algerian feels."
"2025-05-31T09:55:42.664Z","Previsto il prevedibile || Foreseen the Foreseeable (May 25)","Whistle Churchill","","There once was a king named Hugh Jassole
who lived in a marvelous castle.
Everything was going his way,
which made his life happy every day.

But then he started claiming he foresaw everything foreseeable,
and then his life promptly turned disagreeable.
He thought there was nothing new he could learn,
nor anything more he could earn.

Then he started thinking: everything he was owed—
from your joy, to your home, to your favorite goat.
He started mistreating everyone in his land,
and stopped thinking his enemies had anything planned.

Then his life really turned sour,
for one day he looked up and had lost all his power.
Many barbarians were inside his gate,
and this would soon seal his fate.

Since his defenses were not well maintained,
and his people only complained.
Remember: everything was due to his own error.
Luckily for Hugh, this was a dream—and he woke from his nightly terror.

Still, let this be a lesson to you all:
pride always leads to a fall.",""
"2025-06-30T12:14:43.704Z","Raptus Aviario || Down the goose hole (Jun 25)","Pescador ","","Do you ever wonder what the old man on the bench thinks about all day, all afternoon or even all of 1 hour of his dedicated outside bench time. Is he waiting for the perfect moment to relieve his colon of flatulence. Carefully practising the art of patience as he manipulates time itself so no one but the street pigeons have the faintest idea of a change in the surrounding air pressure or aroma. Is he judging the people passing by captiously or is he simply observing, without prejudice. Is he thinking about the next time he will see his grand daughter or his next meal or the next moment in which he will feel the kind of love he felt in the summer of 74’. Do his shoulders or back ache? He’s alone. Maybe that’s how he likes it. 
His friend he met in 85’ will drive past soon - maybe he’ll say something funny, maybe he won’t. Maybe his wife just died and in this moment he is reaching for solace. Maybe he doesn’t want his old pal to say something funny. 
He says something funny. 
Does he feel the rise in pain in his chest? Is it emotionally triggered? Is it high blood pressure? Is he angry? Does he feel a sense of animosity towards the world that passes him by? 
He coughs. 
A cluster of old men slowly approach. They all wear a smirk, gathering their next remarks. The old man realises his bench time is soon to be disturbed. 
Already disturbed. 
He feels a sense of aggression fill his body before he has time to grab hold of it. Blood floods to his legs as he drives his body to rise. Knees, then feet. His back tilts and his arms grow weary to support what’s left to remove his body from the unwavering bench. One of the approaching men makes a remark. Another man chuckles and another proceeds to cough, almost violently. The sudden change in volume shocks his body and allows him to stand completely unreliant on the bench that held him. He retreats. 
To the goose hole he goes. ",""
"2025-07-05T10:45:22.564Z","Previsto il prevedibile || Foreseen the Foreseeable (May 25)","Alcide Paolini","Quando lui si girò di scatto urlando ""Carta!"" io mi ritrovai in piedi leggermente sovraeccittato mentre mostravo potente un pugno chiuso davanti al petto. 

Tornando verso casa mi resi conto che non avevo più una casa. 

L'avevo persa a Sasso carta forbice.

La mia teoria del prevedibile aveva fallito ancora una volta.","When he suddenly turned around shouting “Paper!” I found myself standing, slightly overexcited, while powerfully showing a closed fist in front of my chest.

On my way back home, I realized I no longer had a home.

I had lost it in Rock-Paper-Scissors.

My theory of the predictable had failed once again.",""
"2025-07-19T18:29:01.523Z","Previsto il prevedibile || Foreseen the Foreseeable (May 25)","Par Contre","Il était une fois une voyante. La fois suivante, la voyante vit ses pouvoirs disparaitre. En effet, le train Paris-Milan avait été fermé pour cause d'un écroulement. 

Voyez-vous, les pouvoirs de la voyante reposaient uniquement sur le fait qu'elle était la seule a avoir compris que la France et l'Italie n'était pas seulement séparés spatialement mais aussi temporellement, de 50 ans exactement.  Elle faisait donc régulièrement un tour en France pour voir le futur de l’Italie.

Elle avait pris quelques vacances loin de son journal ""Le Futurama"" après s'être assurée que rien d'intéressant ne serait arrivé pour quelques temps. Et alors qu’elle s'apprêtait a se remettre au travail. Bam. Ecroulement. 

""Elle aurait du le prévoir!"" - crie qui a suivi l'histoire. 
Malheureusement, la frontière est une discontinuité temporelle et donc un angle mort.

Elle était bouleversée. Elle avait besoin de parler et confia son secret et son écroulement a son ami écrivain. Il fut bien entendu d'abord très intrigué de cette histoire de voyance. Quand il finit par se remettre de la nouvelle et se rendit compte de la détresse de son amie, il éclata de rire. Puis lui dit, avec une infinie tendresse dans les yeux comme s’il se fut adressé à une enfant:
""Quand on ne sait pas, on invente. J'imagine qu'on est collègues maintenant.""

Lorsque le train fut réparé, la voyante hésita. Cela faisait maintenant des années qu'elle inventait. Elle avait pris le gout a la création. Les lecteurs semblaient ravis de ces visions. Mais quelque chose la turlupinait.

A son arrivée en France, elle ne put que accepter l’inadmissible. Son intuition était correcte : la France avait en effet suivi ses predictions. Elle avait bien 10/10 en vision temporelle. Elle n’était pas une charlatan mais seulement une voyante avec un manque de confiance en soi. 

Elle se jura donc de croire en ses prédictions et de ne jamais plus revenir en France si ce n’est pour le fromage et le vin.
","Once upon a time, there was a clairvoyant. The next time, she saw her powers vanish. Indeed, the Paris-Milan train line had been shut down due to a collapse.

You see, the clairvoyant’s powers rested entirely on the fact that she was the only one who had understood that France and Italy were not just separated spatially but also temporally—by exactly 50 years. So she regularly took trips to France to see the future.

She had taken a short vacation from her newspaper *Le Futurama*, after making sure that nothing interesting would happen for a while. And just as she was preparing to get back to work—bam. Collapse.

“She should have seen it coming!” cried those who knew the story.
Unfortunately, the border was a temporal discontinuity—a blind spot.

She was devastated. She needed to talk, and confided her secret—and the collapse—to her writer friend. Naturally, he was first intrigued by this tale of clairvoyance. When he finally recovered from the news and saw his friend’s distress, he burst out laughing. Then, with infinite tenderness in his eyes, as if speaking to a child, he said:
“When we don’t know, we invent. I suppose we’re colleagues now.”

When the train was finally repaired, the clairvoyant hesitated. By then, she had spent years inventing. She had grown fond of creating. The readers seemed delighted with her visions. Yet something nagged at her.

Upon her arrival in France, she had no choice but to accept the unthinkable. Her intuition had been right. France had indeed been following her predictions. She really did have a 10/10 in temporal vision. She wasn’t a fraud—just a clairvoyant with a confidence problem.
She swore from then on to trust her predictions and never return to France—except for the cheese and the wine.",""
